in,side,subside,color,area,margin,overlap,type,filename
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0014.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0012.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0015.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0010.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0011.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0007.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0020.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0022.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0049.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0065.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0002.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0032.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0052.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0037.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0038.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0063.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0067.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0043.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0060.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0030.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0017.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0011.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0012.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0004.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0003.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0044.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0045.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0034.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0005.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0069.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0041.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0016.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0048.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0021.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0028.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0020.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0056.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0057.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0029.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0035.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0007.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0022.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0019.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0055.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0015.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0025.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0061.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0001.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0024.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0050.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0058.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0046.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0010.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0040.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0062.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0013.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0014.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0068.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0027.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0051.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0008.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0064.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0026.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0018.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0009.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0047.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0039.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0054.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0059.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0042.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0031.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0006.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0053.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0036.jpg
in6,margin,FW,black,area17,upperMargin,NA,none,in6_margin_black_area17_none_scale0066.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0015.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0017.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0007.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0029.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0009.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0021.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0025.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0013.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0020.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0023.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0003.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0008.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0018.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0004.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0031.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0027.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0014.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0030.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0011.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0033.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0016.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0002.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0005.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0026.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0001.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0024.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0022.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0028.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0019.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0010.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0012.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0032.jpg
in6,ventral,NA,pink,area9,NA,NA,cover,in6_ventral_pink_area9_cover_scale0006.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0065.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0036.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0063.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0048.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0034.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0043.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0041.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0060.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0058.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0050.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0056.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0044.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0051.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0037.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0052.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0059.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0055.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0049.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0042.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0040.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0046.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0054.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0045.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0053.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0061.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0047.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0062.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0039.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0035.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0057.jpg
in6,ventral,NA,pink,area9,NA,NA,ground,in6_ventral_pink_area9_ground_scale0038.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0091.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0093.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0103.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0086.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0101.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0097.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0098.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0087.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0082.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0096.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0084.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0083.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0104.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0092.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0105.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0085.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0090.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0099.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0094.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0081.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0102.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0100.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0088.jpg
in6,ventral,NA,red,area2,NA,NA,none,in6_ventral_red_area30_none_scale0095.jpg
in6,ventral,NA,red,area3,NA,NA,cover,in6_ventral_red_area31_cover_scale0008.jpg
in6,ventral,NA,red,area3,NA,NA,cover,in6_ventral_red_area31_cover_scale0020.jpg
in6,ventral,NA,red,area3,NA,NA,cover,in6_ventral_red_area31_cover_scale0007.jpg
in6,ventral,NA,red,area3,NA,NA,cover,in6_ventral_red_area31_cover_scale0001.jpg
in6,ventral,NA,red,area3,NA,NA,cover,in6_ventral_red_area31_cover_scale0009.jpg
in6,ventral,NA,red,area3,NA,NA,cover,in6_ventral_red_area31_cover_scale0001 (2).jpg
in6,ventral,NA,red,area3,NA,NA,cover,in6_ventral_red_area31_cover_scale0014.jpg
in6,ventral,NA,red,area3,NA,NA,cover,in6_ventral_red_area31_cover_scale0010.jpg
in6,ventral,NA,red,area3,NA,NA,cover,in6_ventral_red_area31_cover_scale0006.jpg
in6,ventral,NA,red,area3,NA,NA,cover,in6_ventral_red_area31_cover_scale0016.jpg
in6,ventral,NA,red,area3,NA,NA,ground,in6_ventral_red_area31_ground_scale0023.jpg
in6,ventral,NA,red,area3,NA,NA,ground,in6_ventral_red_area31_ground_scale0022.jpg
in6,ventral,NA,red,area3,NA,NA,ground,in6_ventral_red_area31_ground_scale0021.jpg
in6,ventral,NA,red,area1,NA,NA,none,in6_ventral_red_area29_none_scale0078.jpg
in6,ventral,NA,red,area1,NA,NA,none,in6_ventral_red_area29_none_scale0079.jpg
in6,ventral,NA,red,area1,NA,NA,none,in6_ventral_red_area29_none_scale0076.jpg
in6,ventral,NA,red,area1,NA,NA,none,in6_ventral_red_area29_none_scale0071.jpg
in6,ventral,NA,red,area1,NA,NA,none,in6_ventral_red_area29_none_scale0073.jpg
in6,ventral,NA,red,area1,NA,NA,none,in6_ventral_red_area29_none_scale0075.jpg
in6,ventral,NA,red,area1,NA,NA,none,in6_ventral_red_area29_none_scale0072.jpg
in6,ventral,NA,red,area1,NA,NA,none,in6_ventral_red_area29_none_scale0080.jpg
in6,ventral,NA,red,area1,NA,NA,none,in6_ventral_red_area29_none_scale0074.jpg
in6,ventral,NA,red,area1,NA,NA,none,in6_ventral_red_area29_none_scale0077.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0014.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0022.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0001.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0010.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0020.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0019.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0006.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0002.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0024.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0025.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0030.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0007.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0027.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0009.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0035.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0018.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0005.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0003.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0004.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0013.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0021.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0017.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0037.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0008.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0032.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0012.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0028.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0026.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0023.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0011.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0015.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0031.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0016.jpg
in6,ventral,NA,black,area6,NA,NA,cover,in6_ventral_black_area6_cover_scale0034.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0068.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0056.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0052.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0044.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0048.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0058.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0038.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0061.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0066.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0049.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0040.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0067.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0062.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0060.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0039.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0047.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0065.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0064.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0045.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0051.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0053.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0055.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0043.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0063.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0050.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0059.jpg
in6,ventral,NA,black,area6,NA,NA,ground,in6_ventral_black_area6_ground_scale0054.jpg
in6,ventral,NA,black,area5,NA,NA,cover,in6_ventral_black_area5_cover_scale0022.jpg
in6,ventral,NA,black,area5,NA,NA,cover,in6_ventral_black_area5_cover_scale0004.jpg
in6,ventral,NA,black,area5,NA,NA,cover,in6_ventral_black_area5_cover_scale0026.jpg
in6,ventral,NA,black,area5,NA,NA,cover,in6_ventral_black_area5_cover_scale0024.jpg
in6,ventral,NA,black,area5,NA,NA,cover,in6_ventral_black_area5_cover_scale0018.jpg
in6,ventral,NA,black,area5,NA,NA,cover,in6_ventral_black_area5_cover_scale0016.jpg
in6,ventral,NA,black,area5,NA,NA,cover,in6_ventral_black_area5_cover_scale0005.jpg
in6,ventral,NA,black,area5,NA,NA,cover,in6_ventral_black_area5_cover_scale0014.jpg
in6,ventral,NA,black,area5,NA,NA,cover,in6_ventral_black_area5_cover_scale0007.jpg
in6,ventral,NA,black,area5,NA,NA,cover,in6_ventral_black_area5_cover_scale0023.jpg
